"AUD.Open" "AUD.High" "AUD.Low" "AUD.Close" "AUD.Volume" "AUD.Adjusted"
"2013-01-24" 27.57 27.57 27.57 27.57 0 27.57
"2013-01-25" 27.93 27.93 27.93 27.93 0 27.93
"2013-01-28" 28.92 28.92 28.92 28.92 0 28.92
"2013-01-29" 28.85 28.85 28.85 28.85 0 28.85
"2013-01-30" 28.745 28.745 28.745 28.745 0 28.745
"2013-01-31" 28.475 28.475 28.475 28.475 0 28.475
"2013-02-01" 28.53 28.53 28.53 28.53 0 28.53
"2013-02-04" 28.48 28.48 28.48 28.48 0 28.48
"2013-02-05" 28.55 28.55 28.55 28.55 0 28.55
"2013-02-06" 28.78 28.78 28.78 28.78 0 28.78
"2013-02-07" 28.48 28.48 28.48 28.48 0 28.48
"2013-02-08" 28.8 28.8 28.8 28.8 0 28.8
"2013-02-11" 28.98 28.98 28.98 28.98 0 28.98
"2013-02-12" 28.92 28.92 28.92 28.92 0 28.92
"2013-02-13" 28.89 28.89 28.89 28.89 0 28.89
"2013-02-14" 28.73 28.73 28.73 28.73 0 28.73
"2013-02-15" 28.78 28.78 28.78 28.78 0 28.78
"2013-02-18" 29.17 29.17 29.17 29.17 0 29.17
"2013-02-19" 29.12 29.12 29.12 29.12 0 29.12
"2013-02-20" 28.95 28.95 28.95 28.95 0 28.95
"2013-02-21" 29.11 29.11 29.11 29.11 0 29.11
"2013-02-22" 28.78 28.78 28.78 28.78 0 28.78
"2013-02-25" 28.62 28.62 28.62 28.62 0 28.62
"2013-02-26" 27.38 27.38 27.38 27.38 0 27.38
"2013-02-27" 28.04 28.04 28.04 28.04 0 28.04
"2013-02-28" 27.48 27.48 27.48 27.48 0 27.48
"2013-03-01" 27.96 27.96 27.96 27.96 0 27.96
"2013-03-04" 28.62 28.62 28.62 28.62 0 28.62
"2013-03-05" 29.59 29.59 29.59 29.59 0 29.59
"2013-03-06" 30.06 30.06 30.06 30.06 0 30.06
"2013-03-07" 30.64 30.64 30.64 30.64 0 30.64
"2013-03-08" 30.5 30.5 30.5 30.5 0 30.5
"2013-03-11" 30.76 30.76 30.76 30.76 0 30.76
"2013-03-12" 30.88 30.88 30.88 30.88 0 30.88
"2013-03-13" 30.82 30.82 30.82 30.82 0 30.82
"2013-03-14" 31.14 31.14 31.14 31.14 0 31.14
"2013-03-15" 31.19 31.19 31.19 31.19 0 31.19
"2013-03-18" 31.2 31.2 31.2 31.2 0 31.2
"2013-03-19" 30.83 30.83 30.83 30.83 0 30.83
"2013-03-20" 30.73 30.73 30.73 30.73 0 30.73
"2013-03-21" 31.8 31.8 31.8 31.8 0 31.8
"2013-03-22" 31.66 31.66 31.66 31.66 0 31.66
"2013-03-25" 31.9 31.9 31.9 31.9 0 31.9
"2013-03-26" 31.41 31.41 31.41 31.41 0 31.41
"2013-03-27" 31.57 31.57 31.57 31.57 0 31.57
"2013-03-28" 31.76 31.76 31.76 31.76 0 31.76
"2013-03-29" 31.76 31.76 31.76 31.76 0 31.76
"2013-04-01" 31.76 31.76 31.76 31.76 0 31.76
"2013-04-02" 31.17 31.17 31.17 31.17 0 31.17
"2013-04-03" 30.85 30.85 30.85 30.85 0 30.85
"2013-04-04" 30.03 30.03 30.03 30.03 0 30.03
"2013-04-05" 29.7 29.7 29.7 29.7 0 29.7
"2013-04-08" 29.48 29.48 29.48 29.48 0 29.48
"2013-04-09" 29.41 29.41 29.41 29.41 0 29.41
"2013-04-10" 29.33 29.33 29.33 29.33 0 29.33
"2013-04-11" 30.25 30.25 30.25 30.25 0 30.25
"2013-04-12" 29.64 29.64 29.64 29.64 0 29.64
"2013-04-15" 29.17 29.17 29.17 29.17 0 29.17
"2013-04-16" 28.14 28.14 28.14 28.14 0 28.14
"2013-04-17" 28.48 28.48 28.48 28.48 0 28.48
"2013-04-18" 28.14 28.14 28.14 28.14 0 28.14
"2013-04-19" 27.69 27.69 27.69 27.69 0 27.69
"2013-04-22" 27.71 27.71 27.71 27.71 0 27.71
"2013-04-23" 27.64 27.64 27.64 27.64 0 27.64
"2013-04-24" 28.63 28.63 28.63 28.63 0 28.63
"2013-04-25" 28.72 28.72 28.72 28.72 0 28.72
"2013-04-26" 28.96 28.96 28.96 28.96 0 28.96
"2013-04-29" 28.52 28.52 28.52 28.52 0 28.52
"2013-04-30" 29.06 29.06 29.06 29.06 0 29.06
"2013-05-01" 29.06 29.06 29.06 29.06 0 29.06
"2013-05-02" 28.98 28.98 28.98 28.98 0 28.98
"2013-05-03" 29.39 29.39 29.39 29.39 0 29.39
"2013-05-06" 30.05 30.05 30.05 30.05 0 30.05
"2013-05-07" 30.16 30.16 30.16 30.16 0 30.16
"2013-05-08" 30.07 30.07 30.07 30.07 0 30.07
"2013-05-09" 30.3 30.3 30.3 30.3 0 30.3
"2013-05-10" 30.51 30.51 30.51 30.51 0 30.51
"2013-05-13" 30.44 30.44 30.44 30.44 0 30.44
"2013-05-14" 29.87 29.87 29.87 29.87 0 29.87
"2013-05-15" 30.44 30.44 30.44 30.44 0 30.44
"2013-05-16" 30.55 30.55 30.55 30.55 0 30.55
"2013-05-17" 29.01 29.01 29.01 29.01 0 29.01
"2013-05-20" 28.82 28.82 28.82 28.82 0 28.82
"2013-05-21" 28.62 28.62 28.62 28.62 0 28.62
"2013-05-22" 28.94 28.94 28.94 28.94 0 28.94
"2013-05-23" 28.23 28.23 28.23 28.23 0 28.23
"2013-05-24" 28.12 28.12 28.12 28.12 0 28.12
"2013-05-27" 27.87 27.87 27.87 27.87 0 27.87
"2013-05-28" 28.07 28.07 28.07 28.07 0 28.07
"2013-05-29" 28.71 28.71 28.71 28.71 0 28.71
"2013-05-30" 28.45 28.45 28.45 28.45 0 28.45
"2013-05-31" 28.97 28.97 28.97 28.97 0 28.97
"2013-06-03" 28.93 28.93 28.93 28.93 0 28.93
"2013-06-04" 28.53 28.53 28.53 28.53 0 28.53
"2013-06-05" 27.87 27.87 27.87 27.87 0 27.87
"2013-06-06" 27.53 27.53 27.53 27.53 0 27.53
"2013-06-07" 27.05 27.05 27.05 27.05 0 27.05
"2013-06-10" 27.73 27.73 27.73 27.73 0 27.73
"2013-06-11" 27 27 27 27 0 27
"2013-06-12" 26.63 26.63 26.63 26.63 0 26.63
"2013-06-13" 25.69 25.69 25.69 25.69 0 25.69
"2013-06-14" 26.78 26.78 26.78 26.78 0 26.78
"2013-06-17" 26.44 26.44 26.44 26.44 0 26.44
"2013-06-18" 26.52 26.52 26.52 26.52 0 26.52
"2013-06-19" 26.19 26.19 26.19 26.19 0 26.19
"2013-06-20" 26.53 26.53 26.53 26.53 0 26.53
"2013-06-21" 26.5 26.5 26.5 26.5 0 26.5
"2013-06-24" 25.83 25.83 25.83 25.83 0 25.83
"2013-06-25" 25.44 25.44 25.44 25.44 0 25.44
"2013-06-26" 25.85 25.85 25.85 25.85 0 25.85
"2013-06-27" 26.58 26.58 26.58 26.58 0 26.58
"2013-06-28" 26.71 26.71 26.71 26.71 0 26.71
"2013-07-01" 25.98 25.98 25.98 25.98 0 25.98
"2013-07-02" 25.89 25.89 25.89 25.89 0 25.89
"2013-07-03" 25.71 25.71 25.71 25.71 0 25.71
"2013-07-04" 25.78 25.78 25.78 25.78 0 25.78
"2013-07-05" 26.27 26.27 26.27 26.27 0 26.27
"2013-07-08" 26.6 26.6 26.6 26.6 0 26.6
"2013-07-09" 26.76 26.76 26.76 26.76 0 26.76
"2013-07-10" 26.78 26.78 26.78 26.78 0 26.78
"2013-07-11" 26.53 26.53 26.53 26.53 0 26.53
"2013-07-12" 26.96 26.96 26.96 26.96 0 26.96
"2013-07-15" 27.53 27.53 27.53 27.53 0 27.53
"2013-07-16" 27.52 27.52 27.52 27.52 0 27.52
"2013-07-17" 27.46 27.46 27.46 27.46 0 27.46
"2013-07-18" 27.67 27.67 27.67 27.67 0 27.67
"2013-07-19" 27.7 27.7 27.7 27.7 0 27.7
"2013-07-22" 27.78 27.78 27.78 27.78 0 27.78
"2013-07-23" 27.67 27.67 27.67 27.67 0 27.67
"2013-07-24" 27.74 27.74 27.74 27.74 0 27.74
"2013-07-25" 27.8 27.8 27.8 27.8 0 27.8
"2013-07-26" 27.6 27.6 27.6 27.6 0 27.6
"2013-07-29" 27.33 27.33 27.33 27.33 0 27.33
"2013-07-30" 27.25 27.25 27.25 27.25 0 27.25
"2013-07-31" 27.53 27.53 27.53 27.53 0 27.53
"2013-08-01" 26.75 26.75 26.75 26.75 0 26.75
"2013-08-02" 25.89 25.89 25.89 25.89 0 25.89
"2013-08-05" 26.27 26.27 26.27 26.27 0 26.27
"2013-08-06" 26.48 26.48 26.48 26.48 0 26.48
"2013-08-07" 26.03 26.03 26.03 26.03 0 26.03
"2013-08-08" 26.14 26.14 26.14 26.14 0 26.14
"2013-08-09" 26.57 26.57 26.57 26.57 0 26.57
"2013-08-12" 26.81 26.81 26.81 26.81 0 26.81
"2013-08-13" 26.98 26.98 26.98 26.98 0 26.98
"2013-08-14" 27.53 27.53 27.53 27.53 0 27.53
"2013-08-15" 27.5 27.5 27.5 27.5 0 27.5
"2013-08-16" 26.94 26.94 26.94 26.94 0 26.94
"2013-08-19" 26.92 26.92 26.92 26.92 0 26.92
"2013-08-20" 26.37 26.37 26.37 26.37 0 26.37
"2013-08-21" 26.49 26.49 26.49 26.49 0 26.49
"2013-08-22" 26.6 26.6 26.6 26.6 0 26.6
"2013-08-23" 27.13 27.13 27.13 27.13 0 27.13
