"GSPTSE.Open" "GSPTSE.High" "GSPTSE.Low" "GSPTSE.Close" "GSPTSE.Volume" "GSPTSE.Adjusted"
"2007-08-08" 13684.900391 13835.400391 13560.599609 13758.200195 261535200 13758.200195
"2007-08-09" 13558.299805 13758.200195 13460.900391 13478 310048400 13478
"2007-08-10" 13400.700195 13478 13228.700195 13466.299805 286591000 13466.299805
"2007-08-13" 13596.200195 13652.599609 13427.5 13427.5 200987500 13427.5
"2007-08-14" 13501.099609 13525.799805 13210.099609 13242.599609 224308800 13242.599609
"2007-08-15" 13145.099609 13323.099609 13043.400391 13048.799805 253137000 13048.799805
"2007-08-16" 12834 13048.799805 12463.799805 12848.700195 376236900 12848.700195
"2007-08-17" 13161.700195 13245.299805 12835.700195 13049.599609 279423600 13049.599609
"2007-08-20" 13117.400391 13171 12968.299805 13110.299805 180229600 13110.299805
"2007-08-21" 13148.299805 13257.900391 13110.299805 13238.700195 186513500 13238.700195
"2007-08-22" 13383.700195 13470.799805 13238.700195 13463.099609 214544200 13463.099609
"2007-08-23" 13539 13547.5 13358.099609 13451.099609 178057200 13451.099609
"2007-08-24" 13493.299805 13560.599609 13418 13520.299805 133891300 13520.299805
"2007-08-27" 13480 13526.799805 13421.799805 13487.400391 113339700 13487.400391
"2007-08-28" 13419.700195 13487.400391 13252.5 13264.900391 149986000 13264.900391
"2007-08-29" 13311.799805 13494.099609 13264.900391 13490.099609 170080100 13490.099609
"2007-08-30" 13425.700195 13501.299805 13367.599609 13444.599609 149589800 13444.599609
"2007-08-31" 13590.299805 13660.5 13444.599609 13660.5 155691600 13660.5
"2007-09-04" 13673.700195 13781.599609 13660.5 13755.200195 157414800 13755.200195
"2007-09-05" 13688 13785.700195 13652.799805 13683.299805 168668100 13683.299805
"2007-09-06" 13739.5 13795.700195 13670 13795.700195 229204700 13795.700195
"2007-09-07" 13661.400391 13795.700195 13620.299805 13651.200195 243160700 13651.200195
"2007-09-10" 13645.700195 13677.700195 13539.900391 13625.5 193607600 13625.5
"2007-09-11" 13632.599609 13727.599609 13625.5 13704.299805 229447100 13704.299805
"2007-09-12" 13689.599609 13767 13685.799805 13756.700195 202758400 13756.700195
"2007-09-13" 13787.5 13895.900391 13756.700195 13843.200195 201065700 13843.200195
"2007-09-14" 13810.599609 13905.099609 13801.200195 13846.400391 182685900 13846.400391
"2007-09-17" 13832 13877.400391 13769.900391 13809.900391 136169000 13809.900391
"2007-09-18" 13808.400391 14005.400391 13793.200195 14005.400391 218283800 14005.400391
"2007-09-19" 14010.900391 14070.700195 13899.900391 13939.799805 251773100 13939.799805
"2007-09-20" 13941.5 13939.799805 13814.5 13838.400391 331143000 13838.400391
"2007-09-21" 13962.900391 13959 13838.400391 13940.099609 332403000 13940.099609
"2007-09-24" 13960.700195 14040.599609 13940.099609 13958.299805 288130400 13958.299805
