"EUR.Open" "EUR.High" "EUR.Low" "EUR.Close" "EUR.Volume" "EUR.Adjusted"
"2013-01-02" 44.38 44.45 44 44.2 108000 41.93
"2013-01-03" 43.8 47 43.8 46 592200 43.64
"2013-01-04" 46.32 47 45.59 47 189200 44.59
"2013-01-07" 47.17 48 47.17 47.66 348500 45.22
"2013-01-08" 47.21 47.9 45.54 47 283000 44.59
"2013-01-09" 46.13 47.99 46.13 46.23 259800 43.86
"2013-01-10" 47.21 48.9 47.12 48 250300 45.54
"2013-01-11" 48.1 49.78 48.1 49.4 421300 46.87
"2013-01-14" 49.9 49.9 48.19 48.6 167800 46.11
"2013-01-15" 48.6 49 47.6 47.7 125500 45.25
"2013-01-16" 47.5 47.92 46.82 47 352600 44.59
"2013-01-17" 47.8 47.81 46.92 47.15 1093000 44.73
"2013-01-18" 47.4 46.96 47.4 47 100 44.59
"2013-01-21" 47.02 47.02 46 46.28 132600 43.91
"2013-01-22" 46.5 47.25 46.02 47 163100 44.59
"2013-01-23" 47.2 47.99 46.7 47.79 323100 45.34
"2013-01-24" 47.9 48.24 47.6 48 188100 45.54
"2013-01-25" 48.24 48.24 47.8 48 163200 45.54
"2013-01-28" 48.2 49 47.8 49 159100 46.49
"2013-01-29" 49 48.55 50 50 2200 47.44
"2013-01-30" 50 53 50 51 443900 48.38
"2013-01-31" 51.5 50.3 51.5 50.3 700 47.72
"2013-02-01" 50.5 52 50.1 50.1 266200 47.53
"2013-02-04" 50.85 51.4 50.4 51 307600 48.38
"2013-02-05" 51 51.35 50.5 51 198500 48.38
"2013-02-06" 51.6 51.95 50.6 51 307900 48.38
"2013-02-07" 51 51 51 51 0 48.38
"2013-02-08" 51 51 51 51 0 48.38
"2013-02-11" 50.5 51.5 49.81 50.2 30800 47.63
"2013-02-12" 50.2 50.2 49.24 49.61 159200 47.07
"2013-02-13" 50.5 50.9 49.22 49.75 596200 47.2
"2013-02-14" 49.4 49.9 48.6 49.3 278200 46.77
"2013-02-15" 49 49.01 47.9 48.4 132100 45.92
"2013-02-18" 48.41 50 48.41 48.55 115300 46.06
"2013-02-19" 48.77 49.29 48.1 48.8 505800 46.3
"2013-02-20" 49.2 50.5 49.2 50.5 312400 47.91
"2013-02-21" 50.55 51.7 50 51.7 324300 49.05
"2013-02-22" 51.55 52.95 50.8 52.95 281700 50.23
"2013-02-25" 52.95 52.95 52.95 52.95 0 50.23
"2013-02-26" 54.6 54.8 53.2 53.25 288800 50.52
"2013-02-27" 53 54.8 53 54.15 329000 51.37
"2013-02-28" 54.7 55 53 53 632100 50.28
"2013-03-01" 53.05 53.9 51 52.5 348300 49.81
"2013-03-04" 52.5 54.8 52 53 353100 50.28
"2013-03-05" 52.3 53.5 52.1 52.1 288000 49.43
"2013-03-06" 52.4 52.8 50.8 50.8 156900 48.19
"2013-03-07" 51.65 51.65 49.7 50.6 382400 48.01
"2013-03-08" 50.8 51.8 50.7 51.5 345600 48.86
"2013-03-11" 52.45 53.4 51.6 52.2 114100 49.52
"2013-03-12" 52.9 53.25 52.4 53.25 69600 50.52
"2013-03-13" 53.5 53.3 53.9 53.7 122200 50.95
"2013-03-14" 53.9 54.65 53.55 54.35 200200 51.56
"2013-03-15" 54.8 56.25 54.35 56.25 1829000 53.37
"2013-03-18" 56.25 56.25 55 55.15 733600 52.32
"2013-03-19" 54.7 55.25 53.5 53.5 244600 50.76
"2013-03-20" 53.8 54.7 53.4 54 164700 51.23
"2013-03-21" 54.3 54.5 52.6 53.2 260300 50.47
"2013-03-22" 52.8 53.75 52.5 53.15 197100 50.42
"2013-03-25" 53.9 54.9 53 54.3 319200 51.52
"2013-03-26" 53.45 54.85 53.2 53.2 388200 50.47
"2013-03-27" 52.85 54.3 52.85 53.05 164100 50.33
"2013-03-28" 53 54.3 52.75 53.15 184300 50.42
"2013-03-29" 53.15 53.15 53.15 53.15 0 50.42
"2013-04-01" 53.15 53.15 53.15 53.15 0 50.42
"2013-04-02" 53.1 53.6 51.35 52.95 215400 50.23
"2013-04-03" 52.6 53.6 52 52.9 764700 50.19
"2013-04-04" 53 53.1 50.7 50.7 196500 48.1
"2013-04-05" 50.4 52.65 50.2 51.2 472100 48.57
"2013-04-08" 51.2 51.7 50.5 50.5 142200 47.91
"2013-04-09" 51.35 52.3 49.11 50.3 176400 47.72
"2013-04-10" 50.2 51.85 50.2 51.1 732700 48.48
"2013-04-11" 52 52.7 51.1 52.7 134600 50
"2013-04-12" 53 53.4 52.8 53.25 394400 50.52
"2013-04-15" 53.5 55.99 53.5 55.53 1267100 52.68
"2013-04-16" 55.53 55.53 55.53 55.53 0 52.68
"2013-04-17" 56 56 53.45 54.45 378100 51.66
"2013-04-18" 54.58 54.58 51.41 52.5 324900 49.81
"2013-04-19" 52 52.7 50.7 52 305600 49.33
"2013-04-22" 52.2 52.8 50.6 50.6 346500 48.01
"2013-04-23" 51.2 51.2 50.2 50.4 838700 47.82
"2013-04-24" 51 54 50.6 53.5 381400 50.76
"2013-04-25" 53 54 52.8 53.4 733400 50.66
