"FXC.Open" "FXC.High" "FXC.Low" "FXC.Close" "FXC.Volume" "FXC.Adjusted"
"2009-08-21" 92.230003 92.739998 92.080002 92.260002 125400 91.575845
"2009-08-24" 92.919998 93.040001 92.529999 92.650002 96700 91.962952
"2009-08-25" 92.959999 93.059998 91.830002 91.919998 148800 91.238362
"2009-08-26" 91.400002 91.400002 90.720001 90.940002 261800 90.265634
"2009-08-27" 91.25 92.129997 90.57 91.919998 166700 91.238362
"2009-08-28" 92.419998 92.43 91.239998 91.419998 186100 90.74207
"2009-08-31" 90.080002 91.269997 89.959999 91.169998 180000 90.493924
"2009-09-01" 90.93 91.389999 90.18 90.410004 118900 89.739565
"2009-09-02" 89.940002 90.5 89.910004 90.309998 181600 89.640301
"2009-09-03" 90.510002 90.650002 90.150002 90.440002 126700 89.769342
"2009-09-04" 91.209999 92.18 91.129997 91.82 115900 91.139105
"2009-09-08" 93.25 93.279999 92.230003 92.480003 164800 91.794215
"2009-09-09" 92.68 92.839996 92.129997 92.360001 139500 91.675102
"2009-09-10" 92.25 92.580002 91.82 92.57 140000 91.883544
"2009-09-11" 92.779999 93.089996 92.470001 92.529999 159200 91.84384
"2009-09-14" 91.540001 92.18 91.540001 92.120003 132900 91.436884
"2009-09-15" 92.379997 93.139999 92.150002 93.099998 201300 92.409612
"2009-09-16" 93.309998 93.730003 93 93.730003 174200 93.034945
"2009-09-17" 93.620003 94.230003 93.519997 93.519997 182600 92.826496
"2009-09-18" 93.510002 93.550003 92.889999 93.300003 106400 92.608134
"2009-09-21" 92.449997 92.660004 91.980003 92.599998 115400 91.91332
"2009-09-22" 93.370003 93.5 92.940002 93.339996 108200 92.647831
"2009-09-23" 93.139999 93.510002 92.720001 92.779999 80300 92.091986
"2009-09-24" 92.889999 92.900002 91.190002 91.610001 181400 90.930664
"2009-09-25" 91.110001 91.760002 91 91.419998 129500 90.74207
"2009-09-28" 91.120003 92.040001 91.07 91.75 56200 91.069625
"2009-09-29" 91.540001 92.089996 91.419998 91.949997 55900 91.268139
"2009-09-30" 92.800003 93.449997 92.419998 93.160004 134600 92.469173
"2009-10-01" 93.370003 93.370003 91.980003 92 135200 91.317771
"2009-10-02" 91.639999 92.410004 91.629997 92.209999 187600 91.526213
"2009-10-05" 92.900002 93.279999 92.580002 93.220001 62100 92.528725
"2009-10-06" 93.809998 94.57 93.790001 94.18 315000 93.481605
"2009-10-07" 94.18 94.309998 93.699997 93.93 167200 93.233459
"2009-10-08" 94.260002 94.959999 93.82 94.839996 195500 94.136707
"2009-10-09" 95.459999 95.82 95.120003 95.550003 209900 94.841449
"2009-10-12" 96.410004 96.660004 96.260002 96.389999 137100 95.675216
"2009-10-13" 96.639999 96.900002 96.199997 96.279999 158200 95.566031
"2009-10-14" 97 97.300003 96.75 97.239998 156700 96.518911
"2009-10-15" 96.959999 97.089996 96.169998 96.440002 174300 95.724848
"2009-10-16" 95.970001 96.330002 95.779999 96.110001 154000 95.397294
"2009-10-19" 96.239998 97 95.989998 96.949997 149700 96.231061
"2009-10-20" 96.07 96.080002 94.75 94.959999 370800 94.25582
"2009-10-21" 94.82 96.089996 94.82 95.400002 260400 94.69256
"2009-10-22" 94.93 95.400002 94.620003 95.190002 274800 94.484118
"2009-10-23" 94.959999 95.080002 94.599998 94.82 154400 94.116859
"2009-10-26" 94.419998 94.669998 93.260002 93.529999 320800 92.836424
"2009-10-27" 93.510002 93.830002 93.139999 93.580002 273100 92.886056
"2009-10-28" 93.099998 93.290001 92.300003 92.470001 580600 91.784287
"2009-10-29" 92.889999 93.599998 92.730003 93.5 208100 92.806648
"2009-10-30" 92.410004 92.639999 92.010002 92.209999 357000 91.526213
"2009-11-02" 92.379997 93.010002 92.099998 92.510002 210800 91.823991
"2009-11-03" 92.32 93.580002 92.32 93.370003 393300 92.677614
"2009-11-04" 93.970001 94.120003 93.489998 93.75 176600 93.054794
"2009-11-05" 93.75 93.940002 93.480003 93.559998 128100 92.8662
"2009-11-06" 92.989998 93.559998 92.519997 92.75 226400 92.062209
"2009-11-09" 94.389999 94.580002 94.25 94.339996 163200 93.640415
"2009-11-10" 94.160004 95.07 94.160004 94.989998 171400 94.285596
"2009-11-11" 95.379997 95.559998 95.129997 95.330002 94600 94.623079
"2009-11-12" 95.080002 95.129997 94.300003 94.440002 165900 93.739679
"2009-11-13" 94.790001 95.209999 94.510002 94.910004 95000 94.206195
"2009-11-16" 95.290001 95.629997 94.760002 95.220001 252900 94.513894
"2009-11-17" 94.209999 94.910004 93.900002 94.889999 391200 94.186339
"2009-11-18" 95.010002 95.18 94.230003 94.580002 239800 93.878641
"2009-11-19" 93.93 93.959999 93.279999 93.779999 226100 93.08457
"2009-11-20" 93.110001 93.290001 92.959999 93.230003 268800 92.538653
"2009-11-23" 94.489998 94.589996 94.300003 94.419998 245300 93.719824
"2009-11-24" 94.239998 94.32 93.870003 94.230003 132700 93.531238
"2009-11-25" 95.18 95.410004 94.730003 95.360001 153800 94.652855
"2009-11-27" 92.93 94 92.919998 93.809998 316400 93.114346
"2009-11-30" 94.040001 94.639999 94 94.440002 247100 93.739679
"2009-12-01" 95.470001 95.790001 95.209999 95.279999 233500 94.573447
"2009-12-02" 95.330002 95.470001 94.830002 94.910004 191100 94.206195
"2009-12-03" 94.419998 94.82 94.199997 94.510002 157500 93.80916
"2009-12-04" 95.220001 95.389999 94.080002 94.209999 224300 93.511382
"2009-12-07" 94.32 95.089996 94.32 94.660004 96900 93.958049
"2009-12-08" 94.25 94.260002 93.419998 93.720001 178200 93.025017
"2009-12-09" 93.82 94.709999 93.790001 94.529999 112400 93.829008
"2009-12-10" 94.989998 95.07 94.480003 94.849998 141700 94.146635
"2009-12-11" 94.610001 94.709999 93.830002 94.059998 185500 93.362493
"2009-12-14" 93.68 94.290001 93.639999 94.089996 78800 93.392269
"2009-12-15" 94.029999 94.150002 93.800003 93.879997 132000 93.183827
"2009-12-16" 93.870003 94.300003 93.660004 94 149900 93.30294
"2009-12-17" 93.160004 93.379997 92.900002 93.139999 179600 92.449317
"2009-12-18" 93.57 93.730003 93.150002 93.470001 160400 92.776871
"2009-12-21" 94.410004 94.57 93.720001 93.889999 168000 93.193755
"2009-12-22" 94.279999 94.540001 93.860001 94.18 167000 93.481605
"2009-12-23" 94.919998 95.199997 94.639999 95.059998 125400 94.355077
"2009-12-24" 95.120003 95.139999 94.870003 94.949997 125800 94.245892
"2009-12-28" 95.309998 95.650002 95.269997 95.599998 92300 94.891074
"2009-12-29" 96.07 96.07 95.43 95.489998 92800 94.781889
"2009-12-30" 94.68 94.940002 94.230003 94.459999 195000 93.759528
"2009-12-31" 95.029999 95.330002 94.620003 94.849998 129200 94.146635
"2010-01-04" 95.910004 96.269997 95.599998 95.720001 213900 95.010186
"2010-01-05" 96.029999 96.230003 95.75 95.949997 233100 95.238477
"2010-01-06" 96.279999 96.620003 96.120003 96.540001 135800 95.824105
"2010-01-07" 96.57 96.57 96.089996 96.309998 125200 95.595808
"2010-01-08" 96.43 96.800003 96.089996 96.660004 142800 95.943218
"2010-01-11" 96.660004 96.800003 96.360001 96.459999 181100 95.744697
"2010-01-12" 95.959999 96.279999 95.709999 95.900002 91400 95.188852
"2010-01-13" 96.360001 96.839996 95.870003 96.720001 71600 96.002771
"2010-01-14" 96.730003 97.459999 96.68 97.400002 232200 96.677729
"2010-01-15" 97.260002 97.260002 96.620003 96.82 307800 96.102028
"2010-01-19" 96.5 96.75 96.440002 96.709999 150800 95.992843
"2010-01-20" 95.080002 95.269997 94.989998 95.18 209600 94.47419
"2010-01-21" 95.150002 95.349998 94.68 94.75 234300 94.047378
